,lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
3304,JRQ[,,,,,,,,,,,,,,,,,
3305,JRQWN/,,,,,,,,,,,,,,,,,
3306,JRQWN=/,,,,,,,,,,,,,,,,,
3307,JRQ<M/,,,,,,,,,,,,,,,,,
3308,JRQRQ/,,,,,,,,,,,,,,,,,
3309,JRC[,,"tage i eje, arve, tage ejendom fra",,,,,,,,,,,,,,,
3310,JRCH/,,,,,,,,,,,,,,,,,
3311,JRCH=/,,,,,,,,,,,,,,,,,
3312,JC/,der er,,,,,,,,,,,,,,,,
3313,JCB[,,"sidde, dvæle, bebo",være beboet,opsætte,,,"få til at sidde, få til at dvæle, ægte (verbum)","bebos, gøre beboeligt",,,,,,,,,
3314,JCB>B/,,,,,,,,,,,,,,,,,
3315,JCBX/,,,,,,,,,,,,,,,,,
3316,JCBJ/,,,,,,,,,,,,,,,,,
3317,JCBJ=/,,,,,,,,,,,,,,,,,
3318,JCBJ_LXM/,,,,,,,,,,,,,,,,,
3319,JCB<M/,,,,,,,,,,,,,,,,,
3320,JCBQ/,,,,,,,,,,,,,,,,,
3321,JCBQCH/,,,,,,,,,,,,,,,,,
3322,JCWB/,,,,,,,,,,,,,,,,,
3323,JCWH/,,,,,,,,,,,,,,,,,
3324,JCWXJH/,,,,,,,,,,,,,,,,,
3325,JCWJ/,,,,,,,,,,,,,,,,,
3326,JCWJ=/,,,,,,,,,,,,,,,,,
3327,JCW</,,,,,,,,,,,,,,,,,
3328,JCW<=/,,,,,,,,,,,,,,,,,
3329,JCW<H/,"frelse, udfrielse",,,,,,,,,,,,,,,,
3330,JCX/,,,,,,,,,,,,,,,,,
3331,JFXQ/,,,,,,,,,,,,,,,,,
3332,JCV[,,,,,,,,,,,,,,,,,
3333,JCJ/,,,,,,,,,,,,,,,,,
3334,JCJH/,,,,,,,,,,,,,,,,,
3335,JCJHW/,,,,,,,,,,,,,,,,,
3336,JFJM>L/,,,,,,,,,,,,,,,,,
3337,JCJMWN/,,,,,,,,,,,,,,,,,
3338,JCJMN/,,,,,,,,,,,,,,,,,
3339,JCJC/,,,,,,,,,,,,,,,,,
3340,JCJCJ/,,,,,,,,,,,,,,,,,
3341,JCM[,,,,,,,,,,,,,,,,,
3342,JFM[,,,,,,,,,,,,,,,,,
3343,JCM>/,,,,,,,,,,,,,,,,,
3344,JCM<>L/,,,,,,,,,,,,,,,,,
3345,JCM<>LJ/,,,,,,,,,,,,,,,,,
3346,JCM<JH/,,,,,,,,,,,,,,,,,
3347,JCM<JHW/,,,,,,,,,,,,,,,,,
3348,JCMRJ/,,,,,,,,,,,,,,,,,
3349,JCN/,søvn,,,,,,,,,,,,,,,,
3350,JCN=/,,,,,,,,,,,,,,,,,
3351,JCN==/,,,,,,,,,,,,,,,,,
3352,JCN=[,,sove,,,,,,,,,,,,,,,
3353,JCN[,,,,,,,,,,,,,,,,,
3354,JCNH/,,,,,,,,,,,,,,,,,
3355,JC</,"frelse, udfrielse, hjælp",,,,,,,,,,,,,,,,
3356,JC<[,,,,,,,frelse,,,,,,,,,,
3357,JC<J/,,,,,,,,,,,,,,,,,
3358,JC<JH/,,,,,,,,,,,,,,,,,
3359,JC<JHW/,Esajas,,,,,,,,,,,,,,,,
3360,JCPH/,,,,,,,,,,,,,,,,,
3361,JCPH=/,,,,,,,,,,,,,,,,,
3362,JCPN/,,,,,,,,,,,,,,,,,
3363,JCR/,"ret, retskaffen, ordentlig",,,,,,,,,,,,,,,,
3364,JCR=/,"moral, retskaffenhed",,,,,,,,,,,,,,,,
3365,JCR==/,,,,,,,,,,,,,,,,,
3366,JCR[,,,,"udjævne, rette op, gå lige",,,,,,,,,,,,,
3367,JFR>L/,Israel,,,,,,,,,,,,,,,,
3368,JFR>LH/,,,,,,,,,,,,,,,,,
3369,JFR>LJ/,,,,,,,,,,,,,,,,,
3370,JCRH/,retskaffenhed,,,,,,,,,,,,,,,,
3371,JCRWN/,,,,,,,,,,,,,,,,,
3372,JCC/,,,,,,,,,,,,,,,,,
3373,JFFKR/,,,,,,,,,,,,,,,,,
3374,JTD/,,,,,,,,,,,,,,,,,
3375,JTWM/,forældreløs,,,,,,,,,,,,,,,,
3376,JTLH/,,,,,,,,,,,,,,,,,
